avg_rating,num_reviews,rating_count,title
5.3,5,303,Growing Up Coy
8.3,17,"9,649",The House of Small Cubes
6.5,11,897,Tig Notaro: Happy To Be Here
3.9,7,669,Rape Zombie: Lust of the Dead
6.3,16,822,Casanova Brown
8.3,26,"3,486",The Culture High
7.2,6,"3,486",The Fluffy Movie: Unity Through Laughter
5.4,10,"1,269",Stranded in Paradise
6.6,6,"4,037",Stereo
3.7,7,428,Her Infidelity
6.0,9,"1,578","Thi Mai, rumbo a Vietnam"
7.1,8,"1,165",The Death and Life of Marsha P. Johnson
4.6,13,337,Inspector Gadget
8.4,7,"1,785",Hip-Hop Evolution
8.1,153,"24,596",Castlevania
5.1,6,160,The Slaughterhouse
6.3,2,178,The Woman in White
4.6,107,"1,354",Haunted
8.1,86,"6,870",On My Block
5.8,10,268,The Chosen One
7.4,53,"7,106",White Gold
7.3,9,307,Carlo & Malik
6.8,15,575,The Stadium
6.9,2,512,The Tunnel
7.1,16,580,Heist
7.6,3,604,Diner
7.0,21,687,Alone
6.4,18,739,Summer School
7.5,3,738,Drive
6.4,1,"14,100",Black Summer
6.0,534,"22,316","Rachel, Jack and Ashley Too"
8.9,573,"337,597",Black Mirror
8.4,2,783,A.K.A The Double Half-Wappinger
7.2,116,"2,814",Mr. Iglesias
8.0,564,"177,561",Jessica Jones
7.5,22,380,My First First Love
7.1,48,"3,612",The Dark Mirror
7.2,15,714,Switched
4.5,22,"2,731",Hate Story 3
7.1,4,340,Dinotrux
7.0,41,"2,751",T-Men
8.1,42,"8,038",The Square
2.8,10,"1,206",Hard Breakers
8.8,88,"2,478",Norm Macdonald Has a Show
5.5,17,423,Spivak
7.5,9,"2,052",My Happy Family
7.0,34,"1,553",Anthony Jeselnik: Fire in the Maternity Ward
5.9,11,833,Strange Weather
4.4,26,"3,102",The Pact II
8.3,12,"1,450",Tales by Light
5.2,53,419,Still Laugh-In: The Stars Celebrate
5.7,12,425,Home: Adventures with Tip & Oh
6.4,7,"1,016",Little Einsteins
6.9,19,"2,438",Angry Indian Goddesses
7.2,14,"5,712",Into the Inferno
7.6,17,"2,229",Pramface
6.7,7,"2,529",Aziz Ansari Live in Madison Square Garden
6.8,23,"3,452",Stone of Destiny
6.5,6,"1,387",The Silence of the Sky
6.6,13,"3,262",The Motive
7.4,5,205,Tijuana
7.0,10,"2,499",Southcliffe
7.6,9,534,Brené Brown: The Call to Courage
7.9,4,"7,516",Marco Polo: One Hundred Eyes
7.6,21,206,Brainchild
4.4,44,"1,872",Nightworld: Door of Hell
3.2,10,368,Splatter
4.6,33,"1,451",The Devil and Father Amorth
7.5,29,"2,309",Joe Rogan: Strange Times
7.4,21,"3,934",Period. End of Sentence.
4.9,57,"6,201",Expelled
5.6,11,"1,148",Delete
4.4,11,"1,303",Balls Out
7.2,16,"4,645",Audrie & Daisy
5.7,19,275,Miranda Sings Live... Your Welcome
7.1,13,683,Grass is Greener
6.3,35,"4,233",Force 2
5.8,5,"1,547",The Tribe
6.5,5,"1,324",Dovlatov
7.6,18,"10,321","What Happened, Miss Simone?"
5.7,5,328,Barbie: Dolphin Magic
5.5,3,"1,121",Yucatán
7.4,12,"3,318",W/ Bob and David
5.8,11,"2,207",Manson Family Vacation
7.1,12,"3,859",Fullmetal Alchemist: The Sacred Star of Milos
8.2,7,257,Julie's Greenroom
3.6,17,"1,283",The Guest House
7.3,5,"3,236",Aziz Ansari: Buried Alive
7.2,42,"7,554",Shaitan
4.5,32,"1,501",American Violence
5.8,14,"6,047",Zambezia
2.9,167,"8,534",Amy Schumer: The Leather Special
6.5,76,"4,676",The Puffy Chair
7.7,14,"2,432",Quincy
7.0,34,912,Dancing Queen
4.8,17,"2,123",Coin Heist
5.4,6,348,Fate/Extra Last Encore
3.6,38,259,Swing State
6.4,26,"2,906",Strong Island
6.0,8,513,The Way Home
6.1,8,263,The Burial Of Kojo
4.4,45,"6,276",Let's Be Evil
7.3,12,"3,978",Team Foxcatcher
7.9,24,"7,494",Mind Game
6.5,18,"3,501",Nocturama
6.5,4,398,Samantha!
5.4,4,622,Pants on Fire
6.6,12,180,Best. Worst. Weekend. Ever.
6.7,35,"3,125",Tony Robbins: I Am Not Your Guru
5.5,8,"1,033",Manhattan Romance
8.1,17,"1,253",Shot in the Dark
6.4,33,"3,557",Take Your Pills
6.0,6,577,Sword Gai: The Animation
6.9,8,"1,322",Hector
5.9,7,554,Stalked by My Doctor: The Return
5.2,20,"2,960",Girlfriend's Day
6.2,10,"1,292",How to Get Over a Breakup
6.0,16,"1,696",The Killer
7.2,87,"4,314",He Walked by Night
6.4,12,"1,410",Middle of Nowhere
4.8,9,690,Yosemite
6.8,10,"2,058",Shepherds and Butchers
5.1,17,"2,233",Interior. Leather Bar.
8.5,15,633,Prison Playbook
5.9,22,"1,257",Little Boxes
7.3,11,218,Under Arrest
6.5,93,"4,655",Chris Rock: Tamborine
7.3,55,"3,626",Raw Deal
7.7,28,"3,270",Muscle Shoals
5.3,23,738,Wildflower
7.1,126,"1,872",Magic for Humans
6.2,25,"1,225",Papa Hemingway in Cuba
7.9,2,183,1994
3.6,39,"1,720",Taboo
5.4,13,"2,730",The Watcher
7.8,5,"7,352",Berserk: The Golden Age Arc II - The Battle for Doldrey
7.6,21,"3,334",Miss Representation
7.2,13,"1,388",Away
7.4,26,"5,438",Get Me Roger Stone
7.3,26,"1,838",The Joel McHale Show with Joel McHale
7.6,15,"28,185",Coming Soon
8.2,37,"4,864",Hasan Minhaj: Homecoming King
5.7,40,"1,145",Super Drags
7.6,34,"8,188","Fat, Sick & Nearly Dead"
7.2,15,"1,482",The Politician's Husband
6.9,36,"2,601",Man Without a Star
6.5,79,"3,578",Ellen DeGeneres: Relatable
5.2,10,419,Pac-Man and the Ghostly Adventures
8.1,20,"5,488",Dave Chappelle: Equanimity
6.1,6,634,Milada
7.0,20,"1,359",White Rabbit Project
6.4,39,"5,930",Won't Back Down
3.5,16,771,Larceny
6.8,9,"3,495",7 Años
8.1,2,998,Shadow of Truth
8.4,18,"6,679",Bo Burnham: Make Happy
7.5,36,"5,487",Any Day Now
5.0,32,"1,860",Seth Rogen's Hilarity for Charity
3.5,26,"1,099",Police Woman
5.2,16,"1,042","To Each, Her Own"
7.7,6,43,Charlie's Colorforms City
6.1,13,"1,801",Chelsea
5.9,5,729,The Submarine Kid
8.3,12,"1,638",Shin'ya shokudou: Tokyo Stories
5.4,120,"2,723",Amy Schumer: Growing
8.1,9,"3,223",Chasing Coral
4.3,41,"3,010",Dark Summer
7.8,79,"14,125",Life Itself
6.5,13,881,My Little Pony: Equestria Girls - Legend of Everfree
6.6,34,"1,635",Along Came Jones
8.0,66,"10,029",Letter from an Unknown Woman
5.9,12,237,Kong: King of the Apes
6.0,21,"1,469",One of Our Dinosaurs Is Missing
7.2,14,939,"Gabriel ""Fluffy"" Iglesias: One Show Fits All"
7.1,5,119,OCTB
5.9,12,"1,388",Chloe and Theo
3.7,8,"1,011",Cougar Hunting
5.9,4,"2,353",Toro
7.2,23,"2,311",Iliza: Elder Millennial
7.2,16,"3,372",Naked Among Wolves
6.6,4,948,Lego Marvel Super Heroes: Maximum Overload
5.3,21,"4,944",In Their Skin
6.6,8,291,Comedians of the World
3.6,249,"6,472",Bill Nye Saves the World
4.8,6,500,Edha
4.2,16,"1,580",The Axe Murders of Villisca
4.2,42,"2,793",Hellions
6.8,7,"1,439",Katherine Ryan: In Trouble
5.3,22,"3,191",Hate Story
7.2,33,"2,192",Trevor Noah: Son of Patricia
6.5,39,"10,881",Harlock: Space Pirate
7.9,4,"2,407",The Ivory Game
7.8,7,464,Nailed It! Holiday!
6.7,2,610,The Chosen
8.3,17,"1,216",Samurai Gourmet
7.6,37,521,Stay Here
8.5,7,"5,742",Bo Burnham: what.
5.4,15,"3,779",The Pill
3.6,17,"1,962",The Chosen
6.7,5,"1,179",Nick Offerman: American Ham
7.1,32,875,Wanda Sykes: Not Normal
5.3,6,710,The Most Assassinated Woman in the World
6.2,20,"4,720",Morris from America
4.0,26,"2,110",Paranoid
3.5,18,824,Mysterious Island
7.3,13,"1,168",I Called Him Morgan
7.5,11,79,Mighty Little Bheem
6.9,35,"2,286",My Little Pony: Equestria Girls - Rainbow Rocks
4.7,53,"5,072",Preservation
6.1,3,"1,843",Generation Iron 2
4.8,19,"2,435",Stash House
7.1,21,"7,150",Generation Iron
7.0,71,"2,658",Lured
8.2,3,224,Examination of Conscience
5.7,7,264,The Mr. Peabody & Sherman Show
7.2,3,936,Kuromukuro
7.7,12,"4,639",Dave Chappelle: The Bird Revelation
7.5,5,267,Inside the Real Narcos
3.3,23,"1,693",Hold Your Breath
6.7,7,733,Mercury 13
7.0,43,"3,617",The Witness
6.8,51,"3,938",Secret Beyond the Door...
8.0,24,"7,414",The Age of Spin: Dave Chappelle Live at the Hollywood Palladium
8.0,3,49,Here to Heart
6.9,7,75,Ponysitters Club
7.6,11,"1,026",The Principal
7.7,23,"1,691",The Bleeding Edge
8.2,13,797,Dogs
7.9,3,"4,884",John Mulaney: The Comeback Kid
7.2,15,"1,052",ReMastered: The Two Killings of Sam Cooke
7.2,7,640,Kipper
6.3,19,"1,889",Ethan Frome
6.4,16,716,A.I.C.O. Incarnation
5.6,13,"1,547",Brahman Naman
5.7,18,"1,314",The Oscars
5.4,51,"3,269",Bongwater
5.7,9,642,People You May Know
7.0,9,"1,659",The Driver
5.1,9,"1,544",Jay and Silent Bob's Super Groovy Cartoon Movie
4.8,148,893,Afflicted
6.4,13,"1,928",The Oscars
4.5,32,620,Only for One Night
7.0,11,896,Jo Koy: Live from Seattle
6.0,14,"1,981",LUV
8.2,20,"3,449",Samurai X: Reflection
5.9,32,256,Terrorism Close Calls
7.2,27,"4,200",Bill Burr: Walk Your Way Out
7.5,11,635,Tokyo Trial
5.5,13,371,Catching Feelings
7.4,25,"5,622",The Hunting Ground
8.2,11,"1,601",Bobby Robson: More Than a Manager
5.8,14,"2,844",The Silenced
7.8,5,616,Historia de un clan
8.4,3,"1,424",Terra
7.8,35,"6,449",Undefeated
3.4,9,656,3 Geezers!
6.1,9,"1,346",Deidra & Laney Rob a Train
5.6,21,"2,674",Ava's Possessions
7.3,20,502,Fastest Car
4.7,27,"4,003",Choose
7.1,14,"3,468",Trevor Noah: Afraid of the Dark
6.0,12,"1,435",Tricked: The Documentary
8.1,10,"2,247",Cooked
7.3,9,798,Une chance de trop
5.7,13,"1,985",The Philly Kid
7.6,10,"4,442",Twinsters
7.1,32,"1,752",Steve Martin and Martin Short: An Evening You Will Forget for the Rest of Your Life
6.8,5,"2,983",How to Be a Man
6.8,11,"2,147",Parked
6.8,4,264,Zig and Sharko
5.3,3,757,Pickpockets
6.8,5,377,Turbo FAST
5.6,12,"1,105",Death Clique
7.6,9,"1,834",Call Me Lucky
5.7,17,"2,808",The Makeover
7.5,29,"6,120",The White Helmets
6.9,51,"7,397",Wilbur Wants to Kill Himself
4.2,12,585,Daemonium: Soldier of the Underworld
7.4,22,817,What We Started
7.8,9,716,The Cuba Libre Story
7.9,4,"2,824",Say Goodnight to the Bad Guys
5.5,2,288,Blockbuster
5.1,8,309,A Weekend with the Family
5.5,4,"1,361",We Are Pregnant
7.1,35,"1,496",Angela's Christmas
5.4,2,378,Rodney King
6.8,6,36,Bakugan: Battle Planet
7.3,6,387,Rapture
7.4,6,"1,721",Gabriel Iglesias: I'm Sorry for What I Said When I Was Hungry
6.2,11,351,The Redhead from Wyoming
7.3,13,"4,112",Trailer Park Boys: Don't Legalize It
6.5,9,289,The Russian Revolution
7.5,8,641,Nate Bargatze: The Tennessee Kid
7.2,3,169,Lost Song
7.5,16,"1,958",Tom Segura: Disgraceful
6.8,59,"2,032",Hollow Triumph
4.8,15,196,VeggieTales in the House
6.0,7,"2,983",17 Girls
6.7,32,"1,031",Destry
2.1,19,895,Sinister Squad
4.8,33,"5,405",Tactical Force
7.1,13,401,Pulang
6.8,30,"7,916",Kevin Hart: Let Me Explain
5.4,4,599,Jefe
2.5,6,475,Dahmer vs. Gacy
7.5,4,"3,059",Joe Rogan: Triggered
6.0,5,290,Estocolmo
6.5,5,132,A Tale of Two Kitchens
3.9,33,"3,488",Hijacked
7.4,12,"3,031",Supermensch: The Legend of Shep Gordon
8.7,3,"1,397",Sense8: Creating the World
8.6,25,"1,399",Springsteen on Broadway
5.6,10,"1,353",Iron Man and Captain America: Heroes United
7.0,29,"2,489",Long Live Brij Mohan
4.3,4,512,Russell Madness
5.8,28,"4,115",I'm Reed Fish
7.2,19,"3,301",Loose Change 9/11: An American Coup
6.8,12,347,7 Days Out
8.3,18,"2,072",Thithi
6.8,11,"1,753",The Oscars
7.8,4,383,Buddy Thunderstruck
6.6,13,"1,058",Tiger Orange
6.5,8,"1,112",Chris D'Elia: Man on Fire
7.9,4,589,Secrets of Great British Castles
7.1,10,592,Sebastian Maniscalco: Stay Hungry
6.5,18,673,King's Faith
5.8,9,645,Death and Cremation
7.7,2,"1,120",Maktub
5.7,7,436,Dreamland
3.9,5,429,Chasing Cameron
7.0,14,"1,975",Dukhtar
5.6,7,575,No Estoy Loca
7.5,57,"2,110",Tomorrow Is Forever
5.8,23,843,Cult of the Cobra
7.4,32,"6,877",Particle Fever
8.2,13,"1,886",Cuba and the Cameraman
5.7,47,"1,503","Ken Jeong: You Complete Me, Ho"
3.3,6,664,Misfire
5.1,10,499,Aleksandr's Price
6.6,5,491,Recovery Boys
5.6,16,"1,336",7 Chinese Brothers
7.7,6,773,Bumping Mics with Jeff Ross & Dave Attell
8.0,21,"3,198",Mea Maxima Culpa: Silence in the House of God
6.7,11,836,The Standups
7.2,13,"4,170",DMT: The Spirit Molecule
4.0,77,637,Made in Mexico
7.7,3,279,All Hail King Julien: Exiled
4.8,6,282,The 69th Primetime Emmy Awards
6.9,3,782,The Day I Met El Chapo: The Kate Del Castillo Story
7.1,20,"1,295",Derren Brown: Sacrifice
2.7,73,"2,026",The Amityville Haunting
6.5,15,729,The Cimarron Kid
5.3,11,"3,359",Touchy Feely
7.7,37,"3,237",Nanking
6.3,31,342,Amo
7.0,6,645,ReMastered: The Miami Showband Massacre
6.6,6,"1,416",Disciples of the 36th Chamber
5.4,9,"1,815",Demoted
6.5,13,311,The Unguarded Moment
5.4,3,"1,144",3 Türken & ein Baby
5.4,5,"4,397",Torrente 4
7.7,9,440,Kantaro: The Sweet Tooth Salaryman
7.2,15,"1,445",Strike a Pose
6.2,23,407,Death by Magic
6.4,15,"1,673",Dear Mr. Watterson
7.2,5,860,71st Golden Globe Awards
7.7,2,"1,142",Cocaine Cowboys: Reloaded
7.5,32,"7,614",Louis C.K. 2017
7.0,2,74,Green Door
6.1,3,539,Frank and Cindy
8.3,33,"17,158",Zeitgeist: Addendum
8.0,3,"1,257",Mission Blue
7.5,12,652,Underwear
6.8,6,238,Woman They Almost Lynched
7.1,5,319,Cricket Fever: Mumbai Indians
5.7,11,875,Mr. Pig
5.5,11,928,Helios
4.4,50,"1,821",Skew
7.8,5,760,Too Funny to Fail: The Life & Death of The Dana Carvey Show
6.0,9,126,Westside
6.7,6,"1,086",I'll Sleep When I'm Dead
7.8,9,"3,433",Anthony Jeselnik: Thoughts and Prayers
6.8,18,878,Trigger Warning with Killer Mike
8.3,4,"5,138",Bill Burr: I'm Sorry You Feel That Way
7.5,6,"1,379",First Team: Juventus
7.9,26,"7,095",Deep in the Heart of Texas: Dave Chappelle Live at Austin City Limits
8.2,21,"1,832",India's Daughter
7.4,8,"1,194",Joan Didion: The Center Will Not Hold
4.6,9,"1,519",Heroes Wanted
5.7,7,547,Theo Von: No Offense
7.0,23,"4,305",Jerry Before Seinfeld
6.6,6,494,The Ballad of Hugo Sánchez
3.7,6,198,Rumble
5.8,19,"2,701",Dragon Age: Dawn of the Seeker
7.4,20,390,Larry Charles' Dangerous World of Comedy
6.0,5,454,Tenured
6.9,3,568,ReMastered: Who Shot the Sheriff?
6.1,3,251,Suicide
7.5,6,"1,192",The Short Game
8.2,6,951,Bobby Kennedy for President
4.8,4,501,The Surrogate
7.7,4,"1,823",Nise: The Heart of Madness
6.1,6,266,Autohead
6.8,2,633,CounterPunch
6.9,5,"1,845",Heroin(e)
6.2,2,"2,293",Welcome Mr. President
3.4,22,868,Aliens on the Moon: The Truth Exposed
5.6,29,"3,749",Mutants
5.1,4,"1,879",Görümce
5.5,19,407,The River Thief
6.1,5,547,Braxton Family Values
6.1,2,720,We Are Family
7.4,32,"1,745",Pandora's Promise
8.2,63,"16,915",Zeitgeist: Moving Forward
7.2,8,"1,317",End Game
8.2,3,433,Hibana
9.2,5,"41,709",CM101MMXI Fundamentals
3.6,7,342,Hollywood & Wine
5.0,8,390,Backstabbed
7.9,22,"4,214",Bridegroom
6.5,41,"3,120",Nobody Speak: Trials of the Free Press
8.0,16,"1,324",The Naked Civil Servant
7.7,9,572,The Gospel of John
7.3,5,"1,139",Very Big Shot
7.1,6,"17,092",Eyyvah Eyvah
8.2,15,"2,799",Alive Inside
7.0,4,444,Captive
6.5,14,"1,012",I Do
6.3,4,"1,667",Dawg Fight
3.6,2,211,The Final Girl
7.1,4,503,Brown Nation
6.7,36,"1,394",The Killer Is Loose
5.8,8,292,The Comedy Lineup
6.5,18,"1,474",The Man from the Alamo
5.5,19,"2,566",UnHung Hero
4.3,5,194,The Night of the Wild Boar
5.8,19,275,Standup and Away! with Brian Regan
6.1,24,"7,432",Der Wixxer
6.0,3,"1,255",De verbouwing
4.1,5,823,The Dorm
6.9,9,217,72 Dangerous Animals: Latin America
3.3,2,104,Devilish Charm
5.3,2,137,French Dirty
4.4,15,"1,113",CAT. 8
7.3,17,316,Jack of all Trades
7.5,6,835,Eddie - Strongman
7.6,25,"3,729",Na Maloom Afraad
3.8,14,257,After Maria
6.5,17,"1,948",Iliza Shlesinger: Confirmed Kills
6.7,2,518,Asperger's Are Us
5.0,30,330,Cooking on High
7.3,19,"2,626",Jim Jefferies: This Is Me Now
5.1,12,839,Bed & Breakfast: Love is a Happy Accident
6.9,24,"6,295",The Unbelievers
6.4,6,"1,270",Operações Especiais
7.1,3,"1,399",The Redeemed and the Dominant: Fittest on Earth
5.0,10,"2,278",House of Bodies
4.1,17,553,"Devil's Backbone, Texas"
7.1,13,"1,253",Bettie Page Reveals All
8.3,9,533,The Sound of Your Heart
7.1,8,"2,444",Keith Richards: Under the Influence
7.5,7,313,City of Joy
6.2,4,981,Forgive Us Our Debts
6.4,3,801,The Hurt Business
7.3,4,"1,009",Jimmy Carr: The Best of Ultimate Gold Greatest Hits
6.5,7,989,Chris D'Elia: Incorrigible
7.6,13,198,Hollywood Weapons: Fact or Fiction?
5.4,12,512,Ambush at Cimarron Pass
7.3,6,"3,166",Zach Galifianakis: Live at the Purple Onion
7.3,24,711,Reversing Roe
7.5,12,160,Flavorful Origins
5.4,9,"1,183",Dealin' with Idiots
7.1,7,"2,233",Regret!
8.3,5,"4,701",Bill Burr: You People Are All the Same.
4.6,21,542,Follow This
7.1,4,"1,127",Girl Rising
7.9,10,"2,145",Neal Brennan: 3 Mics
5.2,65,"1,687",The Break with Michelle Wolf
6.7,2,266,Fire Chasers
6.0,5,690,Katt Williams: Great America
4.2,11,268,War Flowers
3.0,47,912,He Who Dares
6.4,7,"1,531",Chris Tucker Live
6.4,4,163,This Is the Life
3.5,13,412,Aliens: Zone of Silence
5.5,12,930,Pokémon the Movie: Genesect and the Legend Awakened
7.3,2,253,Horsin' Around
6.0,7,861,Green is Gold
7.0,13,524,"Ram Dass, Going Home"
7.0,6,145,Ainori Love Wagon: Asian Journey
7.4,22,"2,171",Crossfire Hurricane
4.7,7,982,Honeymoon
6.3,13,978,Life's a Breeze
4.1,5,233,Rape Zombie: Lust of the Dead 3
6.0,5,502,Orgasm Inc.
6.0,11,579,Ghostheads
2.5,12,949,The Exorcism of Anna Ecklund
2.3,5,167,Hajwala: The Missing Engine
7.3,24,"1,106","Ray Romano: Right Here, Around the Corner"
6.6,6,520,Mercenary
6.5,11,"1,041",Marlon Wayans: Woke-ish
3.8,10,496,Isle of Dogs
8.2,13,"4,529",The Crash Reel
7.1,4,184,Kulipari: An Army of Frogs
5.3,4,181,Tarzan and Jane
7.3,4,435,Sustainable
5.3,11,154,Firebrand
6.9,5,501,The Bad Kids
6.8,17,610,A Christmas Tree Miracle
7.5,15,"1,527",Xiaolin Chronicles
6.1,16,"1,077",Kevin James: Never Don't Give Up
7.3,6,"1,911",Extremis
6.8,22,730,Dragnet
7.1,11,634,Kingdom of Us
6.5,46,"1,744",Crime of Passion
7.2,8,687,Zion
6.7,18,"2,786",Sarah Silverman: A Speck of Dust
6.5,16,"10,542",Incir Reçeli
3.9,5,258,Rape Zombie: Lust of the Dead 2
7.5,2,324,Legend Quest
4.7,2,342,Bad Blood
6.2,7,495,Enlighten Us
6.7,4,439,Amazing Interiors
5.7,14,"2,334",The Lookout
6.7,4,230,21 Days Under the Sky
3.4,5,337,Dark Power
5.6,3,"3,472",Hadi Insallah
6.4,5,895,Joshua: Teenager vs. Superpower
6.3,17,896,Jeff Dunham: Relative Disaster
6.5,3,766,The Mars Generation
3.2,22,768,BreadCrumbs
5.3,5,341,Puss in Book: Trapped in an Epic Tale
6.0,4,454,7:19
6.1,25,"5,197",Video Games: The Movie
5.3,13,936,The Girl from Monday
7.8,2,"1,511",Tom Segura: Completely Normal
6.7,21,"5,332",Atari: Game Over
6.2,25,"1,392",The Rachel Divide
6.1,14,811,Chicago Overcoat
7.6,12,"2,264",Chandni Bar
7.5,9,"1,104","The Other One: The Long, Strange Trip of Bob Weir"
6.5,2,"7,513",Dügün Dernek 2: Sünnet
6.0,4,110,15 August
5.3,4,162,"Out of Many, One"
7.4,3,"2,195",Tig
7.2,9,"2,956",Jimmy Carr: Funny Business
6.7,3,680,KidPoker
2.7,4,352,Westbrick Murders
7.9,58,"1,660",Justin Timberlake + the Tennessee Kids
4.8,26,"1,459",Revolver Rani
7.1,5,686,S Is for Stanley
6.5,5,512,Saheb Bibi Golaam
6.7,8,550,Rattle the Cage
5.4,9,"1,074",The Reconstruction of William Zero
6.6,7,738,Def Comedy Jam 25
5.0,6,295,American Bully
7.2,13,"1,313",And the Oscar Goes To...
8.1,4,"4,180",Jim Jefferies: BARE
6.7,8,312,Todo sobre el asado
8.4,6,537,Daughters of Destiny
6.6,9,"1,009",LFO
4.1,32,730,Pompidou
7.5,9,"2,227",The Overnighters
7.5,3,424,Beauties of the Night
6.9,25,"1,329","Sleep, My Love"
7.1,14,"1,789","Norm Macdonald: Hitler's Dog, Gossip & Trickery"
5.7,3,18,Lego: City
8.4,8,"2,418",Hip-Hop Evolution
5.9,7,"1,986",Percentage
3.8,24,933,Midnight Chronicles
3.6,5,543,Path
6.5,16,553,"Ron White: If You Quit Listening, I'll Shut Up"
6.7,6,115,Nailed It! Mexico
7.3,3,"1,222",Little Witch Academia: The Enchanted Parade
7.4,2,394,ReMastered: Massacre at the Stadium
4.5,16,582,The Millennium Bug
6.5,12,"1,317",Rats
3.2,67,"1,491",Autumn
6.3,15,645,Christina P: Mother Inferior
7.0,5,"1,705",Jim Gaffigan: Cinco
6.9,2,"1,782",Iliza Shlesinger: Freezing Hot
5.5,26,335,Doonby
4.9,3,392,The King of the Streets
4.9,2,325,Corpse Party
7.8,3,"2,827",Jim Gaffigan: Mr. Universe
7.3,15,"1,739",Good Ol' Freda
8.2,4,"2,108",McCullin
6.3,2,277,Dancing Quietly
6.7,2,425,Bad Samaritans
5.1,24,"1,215",An Act of War
6.7,9,846,Seeing Allred
6.5,20,853,Russell Brand: Re: Birth
5.9,6,"1,239",Trailer Park Boys: Live in F**kin' Dublin
6.7,4,662,Danny Says
4.4,13,331,Last Will
6.9,9,"1,297",Jack Whitehall: At Large
6.0,5,394,Sex: My British Job
4.7,20,411,Room
7.7,13,"4,067",Jim Jefferies: Freedumb
4.6,6,568,Living Will...
6.5,2,224,The Forest
6.8,19,"3,657",Craigslist Joe
8.3,23,"1,023",Meerkat Manor
7.2,5,587,Peter and the Farm
6.2,3,528,Winx Club: The Mystery of the Abyss
7.4,3,746,Sugar Coated
2.4,10,142,The Awakening
7.1,5,463,Brave Miss World
6.4,8,320,Kung Fu Elliot
5.9,5,504,The Apostate
7.2,11,"1,748",Patton Oswalt: Annihilation
6.1,9,198,A Little Help with Carol Burnett
6.1,3,174,Road to Yesterday
6.2,13,336,Jihad: A Story of the Others
8.1,29,"4,404",Artifact
7.5,4,146,YG Future Strategy Office
6.8,3,357,One in a Billion
7.9,5,988,Neurons to Nirvana
6.5,21,"2,141",Hell and Back Again
4.4,9,408,Natale a 5 stelle
6.7,31,842,The Crooked Way
8.3,19,"1,542",Blood Brother
7.3,2,102,Revelations
2.0,38,"1,470",Way of the Vampire
7.1,11,"1,618",Michael Che Matters
4.0,12,871,Coffin
7.2,6,"1,211",Marc Maron: Too Real
5.5,4,36,The Sound of Your Heart Reboot
6.6,8,"2,462",Brazilian Western
6.4,8,"1,416",Russell Peters: Almost Famous
6.7,8,248,October 1
3.9,12,521,Mysteria
6.3,8,164,Isolated
7.1,3,"1,699",Print the Legend
5.5,2,37,The Celebrity Plastic Surgeons of Beverly Hills
7.2,9,610,Joe Cocker: Mad Dog with Soul
6.1,5,"2,166",The Fourth State
6.7,2,178,Nila
7.3,43,"2,119",Maxed Out
7.3,16,"1,776",Champs
4.9,2,276,"Lusers, los amigos no se eligen"
5.0,13,862,Darr @ the Mall
7.3,5,53,Loudon Wainwright III: Surviving Twin
7.0,7,"1,935",Chelsea Peretti: One of the Greats
2.1,24,821,River of Darkness
7.8,2,"1,652",Yayati
9.1,11,931,Chapter Twenty: Mephisto Waltz
8.6,5,"1,718",Option C
7.7,170,"10,534",Seven Seconds
8.4,75,"10,517",Trollhunters: Tales of Arcadia
8.6,2,622,The Black Fairy
8.0,11,"1,693",Little Witch Academia
8.2,95,"6,655",Voltron: Legendary Defender
8.8,5,690,Nice Jacket
8.0,2,265,Tinker Hatfield: Footwear Design
7.7,2,164,The Worst
6.7,157,"7,537",Disjointed
8.4,17,"1,245",The Song in Your Heart
7.3,25,"1,734",Ultimate Beastmaster
8.3,37,"3,824",Dragons: Race to the Edge
9.7,12,"4,959",Time's Arrow
8.7,2,"1,991",Ruthie
8.7,3,"1,841",What Time Is It Right Now
8.2,2,"1,630",Hooray! Todd Episode!
