distribution,genre,language,length,premiere,title
original film,War/drama,"English/Twi
","2 hours, 16 min.","October 16, 2015",Beasts of No Nation
original film,Action,"English
","1 hour, 43 min.","February 26, 2016","Crouching Tiger, Hidden Dragon: Sword of Destiny"
original film,Comedy-drama,"English
","1 hour, 37 min.","June 24, 2016",The Fundamentals of Caring
original film,Thriller,"English
","1 hour, 40 min.","July 15, 2016",Rebirth
original film,Comedy-drama,"English
","1 hour, 51 min.","July 29, 2016",Tallulah
original film,Drama,"English
","1 hour, 32 min.","August 26, 2016",XOXO
original film,Science fiction/Thriller,"English
","1 hour, 28 min.","September 16, 2016",ARQ
original film,War film,"English
","1 hour, 48 min.","October 7, 2016",The Siege of Jadotville
original film,Horror,"English
","1 hour, 29 min.","October 28, 2016",I Am the Pretty Thing That Lives in the House
original film,Drama,"Spanish
","1 hour, 16 min.","October 28, 2016",7 años
original film,Thriller,"English
","1 hour, 30 min.","November 22, 2016",Mercy
original film,Science fiction/Action,"English
","1 hour, 48 min.","December 9, 2016",Spectral
original film,Biopic,"English
","1 hour, 44 min.","December 16, 2016",Barry
original film,Heist film,"English
","1 hour, 37 min.","January 6, 2017",Coin Heist
original film,Thriller,"English
","1 hour, 44 min.","January 13, 2017",Clinical
original film,Science fiction/Thriller,"English
","1 hour, 30 min.","January 27, 2017",iBoy
original film,Drama,"English
","1 hour, 27 min.","February 3, 2017",Imperial Dreams
original film,Drama,"English
","1 hour, 36 min.","February 24, 2017",I Don't Feel at Home in This World Anymore
original film,Drama,"English
","1 hour, 42 min.","March 10, 2017",Burning Sands
original film,Drama,"English
","1 hour, 34 min.","March 17, 2017",Deidra & Laney Rob a Train
original film,Biopic,"English
","1 hour, 32 min.","March 24, 2017",The Most Hated Woman in America
original film,Science fiction/Drama,"English
","1 hour, 42 min.","March 31, 2017",The Discovery
original film,War film,"English
","1 hour, 53 min.","April 21, 2017",Sand Castle
original film,Romance,"English
","1 hour, 23 min.","April 21, 2017",Tramps
original film,Anime/Science fiction,"Japanese
","1 hour, 46 min.","May 20, 2017",Blame!
original film,Crime/thriller,"English
","1 hour, 26 min.","June 9, 2017",Shimmer Lake
original film,Science fiction/Adventure,"English/Korean
","2 hours, 1 min.","June 28, 2017",Okja
original film,Drama,"English
","1 hour, 47 min.","July 14, 2017",To the Bone
original film,Horror/thriller,"English
","1 hour, 40 min.","August 25, 2017",Death Note
original film,Drama,"English/Khmer
","2 hours, 16 min.","September 15, 2017",First They Killed My Father
original film,Horror/thriller,"English
","1 hour, 43 min.","September 29, 2017",Gerald’s Game
original film,Romance,"English
","1 hour, 43 min.","September 29, 2017",Our Souls at Night
original film,Comedy-drama,"English
","1 hour, 52 min.","October 13, 2017",The Meyerowitz Stories (New and Selected)
original film,Horror/crime drama,"English
","1 hour, 42 min.","October 20, 2017",1922
original film,Action/thriller,"English
","1 hour, 22 min.","October 20, 2017",Wheelman
original film,Western,"Portuguese
","1 hour, 39 min.","November 10, 2017",The Killer
original film,Romantic/drama,"English
","1 hour, 44 min.","December 15, 2017",Christmas Inheritance
original film,Urban fantasy,"English
","1 hour, 57 min.","December 22, 2017",Bright
original film,Horror/thriller,"English
","1 hour, 34 min.","January 19, 2018",The Open House
original film,Science fiction,"English
","1 hour, 42 min.","February 4, 2018",The Cloverfield Paradox
original film,Drama,"English
","1 hour, 36 min.","February 16, 2018",Irreplaceable You
original film,Science fiction/Mystery,"English
","2 hours, 6 min.","February 23, 2018",Mute
original film,Crime drama,"English
",2 hours,"March 9, 2018",The Outsider
original film,Musical/Western/Fantasy,"English
",,"March 23, 2018",Paradox
original film,Biopic,"English
","1 hour, 38 min.","March 23, 2018",Roxanne Roxanne
original film,Sports/drama,"English
","1 hour, 42 min.","March 30, 2018",First Match
original film,Drama,"English
","1 hour, 15 min.","April 6, 2018",6 Balloons
original film,Sports/drama,"English
","1 hour, 36 min.","April 6, 2018",Amateur
original film,Biopic,"English
","1 hour, 46 min.","April 13, 2018",Come Sunday
original film,Drama,"Tamil
","1 hour, 41 min.","May 1, 2018",Sometimes
original film,Drama,"Italian
","1 hour, 44 min.","May 4, 2018",Forgive Us Our Debts
original film,Drama/Horror,"English
","1 hour, 44 min.","May 18, 2018",Cargo
original film,Drama,"Hindi
",2 hours,"June 15, 2018",Lust Stories
original film,Thriller,"English
","1 hour, 41 min.","June 29, 2018",Calibre
original film,Science fiction/thriller,"English
","1 hour, 37 min.","June 29, 2018",TAU
original film,Action thriller,"English
","1 hour, 53 min.","July 13, 2018",How It Ends
original film,Science fiction-/thriller,"English
","1 hour, 35 min.","July 27, 2018",Extinction
original film,Thriller,"French
","1 hour, 42 min.","September 7, 2018",The Most Assassinated Woman in the World
original film,Animation/Action/Science fiction,"English
","1 hour, 44 min.","September 7, 2018",Next Gen
original film,Crime drama,"Italian
","1 hour, 40 min.","September 12, 2018",On My Skin
original film,Drama,"English
","1 hour, 38 min.","September 14, 2018",The Land of Steady Habits
original film,Spy/Thriller,"English/Arabic/Hebrew
","1 hour, 54 min.","September 14, 2018",The Angel
original film,Thriller,"English
","2 hours, 5 min.","September 28, 2018",Hold the Dark
original film,Drama,"English
","2 hours, 4 min.","October 5, 2018",Private Life
original film,Drama,"English
","2 hours, 24 min.","October 10, 2018",22 July
original film,Horror/thriller,"English
","2 hours, 9 min.","October 12, 2018",Apostle
original film,Action/thriller,"Indonesian
","2 hours, 1 min.","October 19, 2018",The Night Comes for Us
original film,Musical,"English
","1 hour, 40 min.","October 26, 2018",Been So Long
original film,Drama,"English
",,"November 2, 2018",The Other Side of the Wind
original film,Historical/epic,"English
",,"November 9, 2018",Outlaw King
original film,Psychological horror,"English
","1 hour, 34 min.","November 16, 2018",Cam
original film,Western,"English
","2 hours, 12 min.","November 16, 2018",The Ballad of Buster Scruggs
original film,Adventure,"English
","1 hour, 44 min.","December 7, 2018",Mowgli: Legend of the Jungle
original film,Drama,"Spanish
","2 hours, 15 min.","December 14, 2018",Roma
original film,Psychological thriller,"English
","2 hours, 4 min.","December 21, 2018",Bird Box
original film,Science fiction/drama,"English
",,"January 18, 2019",IO
original film,Crime drama,"Hindi
","1 hour, 37 min.","January 18, 2019",Soni
original film,Thriller,"English
","1 hour, 58 min.","January 25, 2019",Polar
original film,Thriller,"English
","1 hour, 52 min.","February 1, 2019",Velvet Buzzsaw
original film,Sports/drama,"English
","1 hour, 30 min.","February 8, 2019",High Flying Bird
original film,Drama,"Marathi
","1 hour, 52 min.","February 22, 2019",Firebrand
original film,Romance/drama,"French
","1 hour, 23 min.","February 22, 2019",Paris Is Us
original film,Drama/comedy,"English
","1 hour, 29 min.","February 22, 2019",Paddleton
original film,Drama,"English
","1 hour, 39 min.","March 8, 2019",Walk. Ride. Rodeo.
original film,Drama,"English
","1 hour, 30 min.","March 8, 2019",Juanita
original film,Action/thriller,"English
","2 hours, 5 min.","March 13, 2019",Triple Frontier
original film,Biopic,"English
","1 hour, 48 min.","March 22, 2019",The Dirt
original film,Crime drama,"English
","2 hours, 11 min.","March 29, 2019",The Highwaymen
original film,Drama,"Spanish
","1 hour, 33 min.","April 12, 2019",Who Would You Take to a Deserted Island?
original film,Drama,"Hindi
","1 hour, 41 min.","April 19, 2019",Music Teacher
original film,Drama,"English
","1 hour, 29 min.","May 16, 2019",Good Sam
original film,Science fiction,"English
","1 hour, 27 min.","May 17, 2019",See You Yesterday
original film,Science fiction/adventure,"English
","1 hour, 38 min.","May 24, 2019",Rim of the World
original film,Horror/thriller,"English
","1 hour, 30 min.","May 24, 2019",The Perfection
original film,Romance,"Spanish
","1 hour, 58 min.","June 7, 2019",Elisa & Marcela
original film,Drama,"English
","1 hour, 50 min.","June 19, 2019",Beats
original film,Action,"English
","1 hour, 26 min.","July 12, 2019",Point Blank
original film,Thriller,"English
","1 hour, 37 min.","July 18, 2019",Secret Obsession
original film,,,,,
original film,Drama,"English
","2 hours, 10 min.","July 31, 2019",The Red Sea Diving Resort
original film,Thriller,"English
",,"August 9, 2019",In the Shadow of the Moon
original film,,,,,
original film,Western,"English
","1 hour, 59 min.","December 11, 2015",The Ridiculous 6
original film,Adventure,"English
","1 hour, 29 min.","March 18, 2016",Pee-wee's Big Holiday
original film,Satire,"English
","1 hour, 40 min.","April 29, 2016",Special Correspondents
original film,Action comedy,"English
","1 hour, 48 min.","May 27, 2016",The Do-Over
original film,Comedy,"English
","1 hour, 35 min.","July 7, 2016",Brahman Naman
original film,Mockumentary,"English
","1 hour, 35 min.","October 13, 2016",Mascots
original film,Action comedy,"English
","1 hour, 38 min.","November 11, 2016",True Memoirs of an International Assassin
original film,Comedy,"English
","1 hour, 20 min.","January 20, 2017",Take the 10
original film,Comedy,"English
","1 hour, 10 min.","February 14, 2017",Girlfriend's Day
original film,Comedy,"English
","1 hour, 28 min.","April 7, 2017",Win It All
original film,Comedy,"English
","2 hours, 11 min.","April 14, 2017",Sandy Wexler
original film,Dark comedy,"English
","1 hour, 35 min.","April 28, 2017",Small Crimes
original film,Comedy,"English
","1 hour, 21 min.","May 5, 2017",Handsome: A Netflix Mystery Movie
original film,War/comedy,"English
","2 hours, 2 min.","May 26, 2017",War Machine
original film,Comedy,"English
","1 hour, 23 min.","July 28, 2017",The Incredible Jessica James
original film,Comedy,"English
","1 hour, 36 min.","August 11, 2017",Naked
original film,Horror-comedy,"English
","1 hour, 34 min.","September 1, 2017",Little Evil
original film,Comedy,"English
","1 hour, 39 min.","September 8, 2017",#REALITYHIGH
original film,Black comedy,"Spanish
","1 hour, 29 min.","October 12, 2017",Bomb Scared
original film,Teen/horror-comedy,"English
","1 hour, 25 min.","October 13, 2017",The Babysitter
original film,Romantic comedy,"English
","1 hour, 32 min.","November 17, 2017",A Christmas Prince
original film,Dark comedy,"English
","1 hour, 29 min.","December 8, 2017",El Camino Christmas
original film,Comedy-drama,"English
","1 hour, 35 min.","January 12, 2018",The Polka King
original film,Comedy,"English
","1 hour, 48 min.","January 19, 2018",Step Sisters
original film,Romantic comedy,"French
","1 hour, 25 min.","January 24, 2018",Blockbuster
original film,Biographical/Comedy,"English
","1 hour, 41 min.","January 26, 2018",A Futile and Stupid Gesture
original film,Romantic comedy,"English
","1 hour, 37 min.","February 9, 2018",When We First Met
original film,Romantic comedy,"Hindi
","2 hours, 13 min.","February 14, 2018",Love per Square Foot
original film,Family film,"English
","1 hour, 27 min.","March 16, 2018",Benji
original film,Action/Comedy,"English
","1 hour, 41 min.","March 23, 2018","Game Over, Man!"
original film,Romantic comedy,"English
","1 hour, 18 min.","March 30, 2018",Happy Anniversary
original film,Romantic comedy,"French
","1 hour, 38 min.","April 13, 2018",I Am Not an Easy Man
original film,Teen/comedy-drama,"English
","1 hour, 37 min.","April 20, 2018",Dude
original film,Comedy,"English
","1 hour, 32 min.","April 27, 2018",Candy Jar
original film,Comedy,"English
","1 hour, 56 min.","April 27, 2018",The Week Of
original film,Romantic comedy,"English
","1 hour, 45 min.","May 11, 2018",The Kissing Booth
original film,Comedy,"English
","1 hour, 34 min.","May 25, 2018",Ibiza
original film,Teen/comedy,"English
","1 hour, 39 min.","June 8, 2018",Alex Strangelove
original film,Romantic comedy,"English
","1 hour, 45 min.","June 15, 2018",Set It Up
original film,Romantic comedy,"French
","1 hour, 35 min.","June 24, 2018","To Each, Her Own"
original film,Adventure/Comedy,"English
","1 hour, 23 min.","July 6, 2018",The Legacy of a Whitetail Deer Hunter
original film,Comedy,"English
","1 hour, 34 min.","July 20, 2018",Father of the Year
original film,Comedy,"Hindi
","1 hour, 40 min.","August 3, 2018",Brij Mohan Amar Rahe
original film,Comedy,"English
","1 hour, 43 min.","August 3, 2018",Like Father
original film,Black comedy,"English
","1 hour, 34 min.","August 10, 2018",The Package
original film,Romantic comedy,"English
","1 hour, 39 min.","August 17, 2018",To All the Boys I've Loved Before
original film,Comedy,"English
","1 hour, 29 min.","August 24, 2018",The After Party
original film,Romantic comedy,"English
","1 hour, 45 min.","September 7, 2018",Sierra Burgess Is a Loser
original film,Comedy/drama,"English
","1 hour, 38 min.","September 21, 2018",Nappily Ever After
original film,Romantic comedy,"English
","1 hour, 35 min.","November 2, 2018",The Holiday Calendar
original film,Romantic comedy,"English
","1 hour, 41 min.","November 16, 2018",The Princess Switch
original film,Family film,"English
","1 hour, 44 min.","November 22, 2018",The Christmas Chronicles
original film,Romantic comedy,"English
","1 hour, 32 min.","November 30, 2018",A Christmas Prince: The Royal Wedding
original film,Comedy/drama,"Hindi
","1 hour, 58 min.","November 30, 2018",Rajma Chawal
original film,Comedy,"Italian
","1 hour, 35 min.","December 7, 2018",5 Star Christmas
original film,Comedy,"Ibo/English
","1 hour, 34 min.","January 4, 2019",Lionheart
original film,Comedy-drama,"English
","1 hour, 38 min.","January 11, 2019",The Last Laugh
original film,Comedy-drama,"Marathi
","2 hours, 4 min.","March 29, 2019",15 August
original film,Comedy,"English
","1 hour, 32 min.","April 5, 2019",Unicorn Store
original film,Romantic comedy,"English
","1 hour, 29 min.","April 12, 2019",The Perfect Date
original film,Romantic comedy,"English
","1 hour, 32 min.","April 19, 2019",Someone Great
original film,Comedy,"Spanish
","1 hour, 18 min.","May 3, 2019",Despite Everything
original film,Romantic comedy,"English
","1 hour, 49 min.","May 3, 2019",The Last Summer
original film,Comedy,"English
","1 hour, 43 min.","May 10, 2019",Wine Country
original film,Comedy,"English
","1 hour, 9 min.","May 13, 2019",Malibu Rescue
original film,Romantic comedy,"English
","1 hour, 42 min.","May 31, 2019",Always Be My Maybe
original film,Comedy,"Hindi
","1 hour, 40 min.","May 31, 2019",Chopsticks
original film,Mystery/comedy,"English
","1 hour, 37 min.","June 14, 2019",Murder Mystery
original film,,,,,
original film,Comedy,"English
","1 hour, 40 min.","August 2, 2019",Otherhood
original film,Comedy,"English
",,"September 20, 2019",Between Two Ferns: The Movie
original film,,,,,
original film,Comedy/Musical,"
",56 min.,"December 4, 2015",A Very Murray Christmas
original film,Concert film,"
","1 hour, 30 min.","October 12, 2016",Justin Timberlake + The Tennessee Kids
original film,Variety show,"
",54 min.,"February 7, 2017","Michael Bolton's Big, Sexy Valentine's Day Special"
original film,One-man show,"
",52 min.,"April 28, 2017",Rodney King
original film,Concert film,"
","1 hour, 48 min.","November 22, 2017","Barbra: The Music, The Mem'ries, The Magic"
original film,Mentalism special,"
",49 min.,"October 19, 2018",Derren Brown: Sacrifice
original film,One-man show,"
","1 hour, 31 min.","November 13, 2018",Loudon Wainwright III: Surviving Twin
original film,One-man show,"
","2 hours, 33 min.","December 16, 2018",Springsteen on Broadway
original film,Concert film,"
","2 hours, 5 min.","December 31, 2018",Taylor Swift Reputation Stadium Tour
original film,Variety show,"
","1 hour, 3 min.","February 8, 2019",Kevin Hart's Guide to Black History
original film,Variety show,"
",1 hour,"May 14, 2019",Still Laugh-In: The Stars Celebrate
original film,Comedy/Musical,"
",30 min.,"May 23, 2019",The Lonely Island Presents: The Unauthorized Bash Brothers Experience
original film,Musical/Short,"
",15 min.,"June 27, 2019",Anima
original film,Mockumentary,"
",32 min.,"July 16, 2019","Frankenstein's Monster's Monster, Frankenstein"
original film,,,,,
original film,Animation/Comedy,"
",45 min.,"August 9, 2019",Rocko's Modern Life: Static Cling
original film,,,,,
original film,,"English
","1 hour, 13 min.","October 12, 2012",Art of Conflict: The Murals of Northern Ireland
original film,,"English
","1 hour, 39 min.","December 12, 2013",The Short Game
original film,,"Arabic/English
","1 hour, 44 min.","January 17, 2014",The Square
original film,,"English
","1 hour, 32 min.","January 24, 2014",Mitt
original film,,"English
","1 hour, 13 min.","July 11, 2014",The Battered Bastards of Baseball
original film,,"English
","1 hour, 35 min.","August 15, 2014",Mission Blue
original film,,"English
","1 hour, 40 min.","September 26, 2014",Print the Legend
original film,,"English
","1 hour, 30 min.","October 24, 2014",E-Team
original film,,"English
","1 hour, 40 min.","November 7, 2014",Virunga
original film,,"English
","1 hour, 21 min.","March 6, 2015",My Own Man
original film,,"English
","1 hour, 23 min.","May 22, 2015",The Other One: The Long Strange Trip of Bob Weir
original film,,"English
","1 hour, 24 min.","May 29, 2015",Hot Girls Wanted
original film,,"English
","1 hour, 24 min.","June 26, 2015","What Happened, Miss Simone?"
original film,,"English
","1 hour, 20 min.","July 17, 2015",Tig
original film,,"English
","1 hour, 21 min.","September 18, 2015",Keith Richards: Under the Influence
original film,,"Ukrainian/Russian/English
","1 hour, 31 min.","October 9, 2015",Winter on Fire: Ukraine's Fight for Freedom
original film,,"English
","1 hour, 31 min.","March 18, 2016",My Beautiful Broken Brain
original film,,"English/Russian
","1 hour, 30 min.","April 29, 2016",Team Foxcatcher
original film,,"English
","1 hour, 56 min.","July 15, 2016",Tony Robbins: I Am Not Your Guru
original film,,"English
","1 hour, 19 min.","August 19, 2016",I'll Sleep When I'm Dead
original film,,"English
","1 hour, 38 min.","September 23, 2016",Audrie & Daisy
original film,,"English
","1 hour, 32 min.","September 30, 2016",Amanda Knox
original film,,"English
","1 hour, 40 min.","October 7, 2016",13th
original film,,"Mandarin/English
","1 hour, 19 min.","October 14, 2016",Sky Ladder: The Art of Cai Guo-Qiang
original film,,"English
","1 hour, 47 min.","October 28, 2016",Into the Inferno
original film,,"English
","1 hour, 52 min.","November 4, 2016",The Ivory Game
original film,,"English
","1 hour, 20 min.","April 28, 2017",Casting JonBenet
original film,,"English
","1 hour, 37 min.","May 5, 2017",The Mars Generation
original film,,"English
","1 hour, 41 min.","May 12, 2017",Get Me Roger Stone
original film,,"Portuguese
","1 hour, 40 min.","May 19, 2017",Laerte-se
original film,,"English
","1 hour, 18 min.","May 26, 2017",Joshua: Teenager vs. Superpower
original film,,"English
","1 hour, 31 min.","June 16, 2017",CounterPunch
original film,,"English
","1 hour, 35 min.","June 23, 2017",Nobody Speak: Trials of the Free Press
original film,,"English
","1 hour, 29 min.","July 14, 2017",Chasing Coral
original film,,"English
",2 hours,"August 4, 2017",Icarus
original film,,"English
","1 hour, 47 min.","September 15, 2017",Strong Island
original film,,"English
","1 hour, 40 min.","September 22, 2017",Gaga: Five Foot Two
original film,,"English
","1 hour, 45 min.","October 6, 2017",The Death and Life of Marsha P. Johnson
original film,,"English
","1 hour, 49 min.","October 13, 2017",Kingdom of Us
original film,,"English
","1 hour, 35 min.","October 20, 2017",One of Us
original film,,"English
","1 hour, 38 min.","October 27, 2017",Joan Didion: The Center Will Not Hold
original film,,"English
","1 hour, 34 min.","November 17, 2017","Jim & Andy: The Great Beyond – Featuring a Very Special, Contractually Obligated Mention of Tony Clifton"
original film,,"English
","1 hour, 13 min.","November 21, 2017",Saving Capitalism
original film,,"English
","1 hour, 54 min.","November 24, 2017",Cuba and the Cameraman
original film,,"English
","1 hour, 35 min.","December 1, 2017",Voyeur
original film,,"English
","1 hour, 35 min.","February 9, 2018",Seeing Allred
original film,,"English
","1 hour, 27 min.","March 16, 2018",Take Your Pills
original film,,"English
","1 hour, 19 min.","April 20, 2018",Mercury 13
original film,,"English
","1 hour, 44 min.","April 27, 2018",The Rachel Divide
original film,,"English
","1 hour, 29 min.","June 29, 2018",Recovery Boys
original film,,"English
","1 hour, 40 min.","July 27, 2018",The Bleeding Edge
original film,,"English
","1 hour, 16 min.","September 7, 2018",City of Joy
original film,,"English
","1 hour, 39 min.","September 13, 2018",Reversing Roe
original film,,"English
","2 hours, 4 min.","September 21, 2018",Quincy
original film,,"Spanish/Catalan
","1 hour, 56 min.","September 28, 2018",Two Catalonias
original film,,"English
","1 hour, 26 min.","October 12, 2018",Feminists: What Were They Thinking?
original film,,"English
","1 hour, 37 min.","October 26, 2018",Shirkers
original film,,"English
","1 hour, 38 min.","November 2, 2018",They'll Love Me When I'm Dead
original film,,"English
","1 hour, 38 min.","December 7, 2018",The American Meme
original film,,"English
","1 hour, 45 min.","December 21, 2018",Struggle: The Life and Lost Art of Szukalski
original film,,"English
","1 hour, 37 min.","January 18, 2019",Fyre: The Greatest Party That Never Happened
original film,,"French
",1 hour,"March 21, 2019",Antoine Griezmann: The Making of a Legend
original film,,"English
","1 hour, 27 min.","March 29, 2019",The Legend of Cocaine Island
original film,,"English
","2 hours, 17 min.","April 17, 2019",Homecoming: A Film by Beyoncé
original film,,"English
","1 hour, 16 min.","April 19, 2019",Brené Brown: The Call to Courage
original film,,"English
","1 hour, 37 min.","April 20, 2019",Grass Is Greener
original film,,"English
","1 hour, 27 min.","May 1, 2019",Knock Down the House
original film,,"English
","1 hour, 58 min.","June 7, 2019",The Black Godfather
original film,,"English
","2 hours, 22 min.","June 12, 2019",Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese
original film,,"Portuguese
","2 hours, 1 min.","June 19, 2019",The Edge of Democracy
original film,,"Spanish
","1 hours, 46 min.","July 10, 2019",Parchis: The Documentary
original film,,,,,
original film,,"English
",,"July 24, 2019",The Great Hack
original film,,"Japanese
",,"August 5, 2019",
original film,,"English
",,"August 21, 2019",American Factory
original film,,,,,
original film,,"English
",57 min.,"October 12, 2018",ReMastered: Who Shot the Sheriff?
original film,,"English
",58 min.,"November 2, 2018",ReMastered: Tricky Dick & the Man in Black
original film,,"English
",58 min.,"December 7, 2018",ReMastered: Who Killed Jam Master Jay?
original film,,"English/Spanish
","1 hour, 4 min.","January 11, 2019",ReMastered: Massacre at the Stadium
original film,,"English
","1 hour, 4 min.","February 8, 2019",ReMastered: The Two Killings of Sam Cooke
original film,,"English
","1 hour, 10 min.","March 22, 2019",ReMastered: The Miami Showband Massacre
original film,,"English
",48 min.,"April 26, 2019",ReMastered: Devil at the Crossroads
original film,,"English
","1 hour, 24 min.","May 17, 2019",ReMastered: The Lion's Share
original film,,,,,
original film,,"English
",24 min.,"September 13, 2016",Extremis
original film,,"English
",40 min.,"September 16, 2016",The White Helmets
original film,,"English
",27 min.,"September 1, 2017",Resurface
original film,,"English
",39 min.,"September 12, 2017",Heroin(e)
original film,,"English
",40 min.,"September 29, 2017",Long Shot
original film,,"Georgian
",23 min.,"February 9, 2018",The Trader (Sovdagari)
original film,,"Hindi/English
",39 min.,"March 8, 2018",Ladies First
original film,,"English
",31 min.,"April 6, 2018","Ram Dass, Going Home"
original film,,"English
",40 min.,"May 4, 2018",End Game
original film,,"English
",11 min.,"August 10, 2018",Zion
original film,,"English
",23 min.,"September 28, 2018",Lessons from a School Shooting: Notes from Dunblane
original film,,"English
",34 min.,"December 12, 2018","Out of Many, One"
original film,,"English
",26 min.,"February 12, 2019",Period. End of Sentence.
original film,,"English/Mandarin
",39 min.,"May 3, 2019",All in My Family
original film,,"English/Spanish
",30 min.,"May 22, 2019",A Tale of Two Kitchens
original film,,"English/Spanish
",37 min.,"May 24, 2019",After Maria
original film,,"English/Swedish
",40 min.,"June 14, 2019",Life Overtakes Me
original film,,,,,
original film,Animation/Science fiction,"Summer 2019
",,,Invader Zim: Enter the Florpus!
original film,Animation/Comedy,"
",,November 2019,
original film,Animation/Comedy,Spring 2020,,,The Willoughbys
original film,Romantic comedy,"2019
",,,
original film,Drama,"2019
",,,All the Bright Places
original film,Adventure/romance,"2019
",,,Christmas in the Wild
original film,Spanish language/coming-of-age drama,"2019
",,,
original film,Horror,"
",,2019,Eli
original film,Comedy,2019,,,
original film,Thriller,"2019
",,,Fracture
original film,Family film,2019,,,
original film,Horror/thriller,"2019
",,,In the Tall Grass
original film,Thriller,2019,,,
original film,Biopic,2019,,,
original film,Action,"2019
",,,Six Underground
original film,Comedy,"2019
",,,Tall Girl
original film,Japanese language/drama,2019,,,
original film,Crime drama,"
",,2019,The Irishman
original film,Historical drama,"
",,2019,The King
original film,Romantic comedy,2019,,,
original film,Political thriller,2019,,,The Last Thing He Wanted
original film,Drama,"2019
",,,The Laundromat
original film,German language/satire,"2020
",,,
original film,German language/supernatural/social drama,"2020
",,,
original film,Spanish language/thriller,"
",,2020,
original film,German language/romantic comedy,"2020
",,,
